Name,URL,Description,Address,Tags,Verified
Jolly Pumpkin,,Free dessert (anything but chocolate flight) plus $10 gift card (expires in 1 month). Requires entree purchase.,,,5/14/13
juicy kitchen,,Free pumpkin donut on your birthday with a purchase of something else,,,
Knight’s Steakhouse,,Free dessert on the day of your birthday,,,4/12/13
Mac’s Seafood,,Saline: Free entree the day of; ID required,,Dinner,
Marnee Thai,,Free Thai Ice Tea or Thai Iced Coffee with purchase of lunch special. Half off entree. Must provide ID.,,"Lunch, Dinner",
Mediterrano,,,,,
Metzgers,,$10 OFF YOUR LUNCH BILL PLUS A FREE DESSERT. $15 OFF YOUR DINNER BILL PLUS A FREE DESSERT. VALID ON THE DAY OF YOUR BIRTHDAY ONLY. PLEASE BRING IN A VALID ID.,,Dinner,2/17/2018
Michigan Creamery,,"50% off any cup, cone, or sundae.",,,03/11/2018
Northside Grill,,Receive a free breakfast or lunch entree until 3pm with ID. You do need to pay for your drink and tip. Excludes takeouts.,,"Breakfast, Lunch",12/8/2018
Paesano's,,"1/2 off entree for birthday person when reservation is made, and always a free dessert with a sparkler in it.Â Also, if you sign up for Good Friends club, they mail a certificate for a free entree, with purchase of an entree, during your birthday month",,,12/1/13
Pacific Rim,,,,,
Palio,,"Offer only available on your birthday with valid ID - driver's license for adults and/or birth certificate for children. Offer only extends to the food portion of the bill (tax, gratuity and alcohol are excluded) and is based on the number of guests in your party; for example 2 people dining receive a discount of 50% off, 3 people dining 33% off, 4 people dining 25% off and so on. Not valid with any other promotion, offer or discount.",,Dinner,3/26/18
Pizza House,,,,,
Planet Rock,,,,,
Pretzel Bell,,"On your birthday, if you are dining in - you get a small Pretzel Bell (literally, a small bell) and a coupon for $10 off your next visit. Expires in one month. ",,Lunch,11/10/2016
Quarter Bistro,,"From their online menu... ""BIRTHDAYS ON US Join us on your birthday and receive a free dinner with the purchase of a second dinner of equal or lesser value.",,Dinner,3/10/13
Quest Martial Arts,,,,,
Real Seafood Company,,"On day of birthday with valid ID - driver's license for adults and/or birth certificate for children. Offer only extends to the food portion of the bill (tax, gratuity and alcohol are excluded) and is based on the number of guests in your party; for example 2 people dining receive a discount of 50% off, 3 people dining 33% off, 4 people dining 25% off, etc.Â Dine-in only.Â Not valid with any other promotion, offer or discount. Valid all day, not just dinner.",,"Lunch, Dinner",1/19/18
Red Hawk,,,,,
Roost Roast,,,,,
Sabor Latino,,,,,
Salvation Army,,,,,
Sava’s,,,,,
Sephora,,,,,
Stairway to Heaven,,,,,
Swing Ann Arbor,,,,,
TeaHaus,,,,,
The Blue Leprechaun,,,,Drinks,
The Earle,,"Offer only available on your birthday with valid ID - driver's license for adults and/or birth certificate for children. Offer only extends to the food portion of the bill (tax, gratuity and alcohol are excluded) and is based on the number of guests in your party; for example 2 people dining receive a discount of 50% off, 3 people dining one third off, 4 people dining one fourth off and so on. Not valid with any other promotion, offer or discount. ",,Dinner,10/17/2013
The Himalayan Bazaar,,,,Shopping,
The Lunch Room,,,,,
Vera Bradley,,,,,
Vinology,,,,,
Weber’s,,"Buy 1 Entree, Get the second entree of equal or lesser value complimentary. Â Must be on the exact day of your birthday and present a photo ID.",,"Lunch, Dinner",02/19/2019
World Market,,,,,
Zingerman’s Bakehouse,,"Free loaf of selected Bakehouse breads (marked with star, up to $6.25) with the purchase of anything the Bakehouse makes.","3711 Plaza Dr, Ann Arbor, MI 48108","Lunch, Snacks",2/19/2019
Zingerman’s Coffee Company,,15% off any coffee drink. ,"3723 Plaza Dr Suite 2, Ann Arbor, MI 48108","Coffee/Tea, Snacks",3/9/2019
Zingerman’s Creamery,https://www.zingermanscreamery.com/,Free 2 oz. serving of gelato or 2 oz. cheese (used to be 4 oz. cheese) with any purchase. ,"3723 Plaza Dr Suite 2, Ann Arbor, MI 48108","Dessert, Snacks",3/26/2018
Zingerman’s Delicatessen,https://www.zingermansdeli.com/,15% discount on everything you buy at Deli or Next Door on your birthday.,"422 Detroit St, Ann Arbor, MI 48104","Lunch, Dinner",3/26/2018
Zingerman’s Next Door Cafe,https://www.zingermansdeli.com/,15% discount on everything you buy at Deli or Next Door on your birthday.,"418 Detroit St, Ann Arbor, MI 48104","Breakfast, Lunch, Dinner",3/26/2018
Zingerman’s Roadhouse,http://www.zingermansroadhouse.com/,Free Donut Sundae with your meal.,"2501 Jackson Ave, Ann Arbor, MI 48103","Lunch, Dinner, Happy hour",
